,municipality,town_number,preliminary_live_birth_counts,preliminary_birth_rate,estimated_population,estimated_median_home_value,labor_force,unemployed,unemployment_rate,median_household_income,tfa_participants,snap_recipients,poverty_status,associate's_degree,bachelor's_degree_or_higher,high_school_diploma_ged_or_equivalent,less_than_high_school_diploma,some_college,percent_without_health_insurance,tfa_participants_rate,snap_recipients_rate,poverty_rate,est_population_above_25,higher_edu_perc,label,socioeconomic_status
135,Sterling,136,34,9.0,3780,198500,2024,101,0.049901185770751,77985,13.5,142,152,289,486,1045,245,558,5.8,0.0035714285714285713,0.03756613756613757,0.04021164021164021,2623,0.18528402592451393,1,Low
136,Stonington,137,100,5.4,18449,316200,9844,328,0.033319788703779,79250,64.5,570,1572,1184,6551,3297,767,2134,2.7,0.0034961244511897663,0.030895983522142123,0.08520787034527616,13933,0.4701787124093878,0,Middle
137,Stratford,138,507,9.8,51967,255600,27350,1280,0.046800731261426,75845,183.0,1358,4504,3665,12502,11710,3187,6668,3.9,0.0035214655454423,0.026131968364539033,0.08667038697635038,37732,0.33133679635322805,1,Low
138,Suffield,139,94,6.0,15743,296600,7646,261,0.0341354956840178,111573,21.5,186,331,941,4830,2789,989,1831,2.5,0.0013656863367846027,0.011814774820555167,0.021025217557009465,11380,0.4244288224956063,0,Middle
139,Thomaston,140,51,6.7,7560,205000,4771,182,0.0381471389645777,67862,24.5,295,577,487,1442,2034,384,1094,3.4,0.0032407407407407406,0.03902116402116402,0.07632275132275132,5441,0.26502481161551183,0,Middle
140,Thompson,141,75,8.0,9395,203900,5260,209,0.0397338403041825,80941,32.0,343,405,613,1899,1970,770,1581,1.4,0.0034060670569451834,0.036508781266631186,0.04310803618946248,6833,0.27791599590223914,0,Middle
141,Tolland,142,109,7.4,14655,298100,8643,262,0.0303135485363878,115718,15.5,42,360,881,4770,2235,197,1957,0.5,0.0010576595018764927,0.0028659160696008186,0.02456499488229273,10040,0.4750996015936255,0,Middle
142,Torrington,143,334,9.8,34228,155700,19174,901,0.0469907165953896,63576,220.0,1939,3326,2509,5817,9418,3075,4839,6.2,0.006427486268552063,0.05664952670328386,0.09717190604183709,25658,0.2267129160495752,1,Low
143,Trumbull,144,321,9.0,35802,396900,17990,675,0.037520844913841,118707,26.0,581,655,1545,13334,4703,1043,4042,2.3,0.0007262164124909223,0.01622814367912407,0.01829506731467516,24667,0.5405602626991527,0,Middle
144,Union,145,4,4.8,840,278900,464,12,0.0258620689655172,90714,0.0,5,17,78,239,207,27,124,2.6,0.0,0.005952380952380952,0.02023809523809524,675,0.3540740740740741,0,Middle
145,Vernon,146,323,11.0,29303,203800,17470,693,0.0396680022896394,62566,254.0,1696,2608,1712,7791,6771,1535,3564,5.5,0.008668054465413098,0.057878032965907926,0.08900112616455653,21373,0.36452533570392553,1,Low
146,Voluntown,147,11,4.3,2535,227900,1484,54,0.0363881401617251,75673,6.5,89,178,218,360,732,113,437,3.7,0.002564102564102564,0.035108481262327414,0.07021696252465483,1860,0.1935483870967742,0,Middle
147,Wallingford,148,390,8.8,44535,270000,26341,927,0.035192285790213,79420,102.5,1923,1925,3419,12445,10843,2548,4924,3.0,0.0023015605703379364,0.04317952172448636,0.043224430223419784,34179,0.36411246671933056,0,Middle
148,Warren,149,9,6.4,1399,377900,805,25,0.031055900621118,107813,1.0,12,48,60,542,270,32,190,2.2,0.0007147962830593281,0.008577555396711936,0.034310221586847746,1094,0.4954296160877514,0,Middle
149,Washington,150,9,2.6,3434,421300,2084,50,0.0239923224568138,97604,1.0,10,203,147,1422,490,70,547,3.3,0.00029120559114735004,0.0029120559114735,0.059114735002912054,2676,0.531390134529148,0,Middle
